0	0.005513
1	0.000382
2	0.000218
3	0.000166
4	0.000143
5	0.000127
6	0.000116
7	0.000106
8	0.000098
9	0.000091
10	0.000086
11	0.000089
12	0.000102
13	0.000128
14	0.000164
15	0.000205
16	0.000246
17	0.000285
18	0.000319
19	0.000350
20	0.000383
21	0.000417
22	0.000446
23	0.000469
24	0.000487
25	0.000505
26	0.000525
27	0.000551
28	0.000585
29	0.000626
30	0.000672
31	0.000720
32	0.000766
33	0.000806
34	0.000846
35	0.000891
36	0.000946
37	0.001013
38	0.001094
39	0.001190
40	0.001296
41	0.001413
42	0.001549
43	0.001706
44	0.001881
45	0.002069
46	0.002270
47	0.002486
48	0.002716
49	0.002960
50	0.003226
51	0.003505
52	0.003779
53	0.004040
54	0.004301
55	0.004592
56	0.004920
57	0.005266
58	0.005630
59	0.006028
60	0.006479
61	0.007001
62	0.007602
63	0.008294
64	0.009082
65	0.009990
66	0.011005
67	0.012097
68	0.013261
69	0.014529
70	0.015991
71	0.017662
72	0.019486
73	0.021467
74	0.023658
75	0.026223
76	0.029159
77	0.032331
78	0.035725
79	0.039469
80	0.043828
81	0.048896
82	0.054577
83	0.060909
84	0.068019
85	0.076054
86	0.085148
87	0.095395
88	0.106857
89	0.119557
90	0.133502
91	0.148685
92	0.165088
93	0.182685
94	0.201442
95	0.220406
96	0.239273
97	0.257714
98	0.275376
99	0.291899
100	0.309413
101	0.327978
102	0.347656
103	0.368516
104	0.390627
105	0.414064
106	0.438908
107	0.465243
108	0.493157
109	0.522747
110	0.554111
111	0.587358
112	0.622599
113	0.659955
114	0.699553
115	0.741526
116	0.781186
117	0.820245
118	0.861257
119	0.904320
